,Disney+,IMDb,Title
95,1,7.5,Saving Mr. Banks
103,1,7.8,Amy
482,1,6.9,White Fang
1647,1,7.9,Diana: In Her Own Words
1761,1,4.2,The Little Mermaid
1776,1,5.1,Zapped
3580,1,8.2,Free Solo
3679,1,7.8,Jane
4313,1,4.5,Inside Out
4438,1,8.0,The Avengers
4454,1,7.0,Thor
4455,1,6.9,Captain America: The First Avenger
4462,1,7.0,Iron Man 2
12717,1,2.7,Sleeping Beauty
16219,1,8.0,Guardians of the Galaxy
16221,1,8.4,Coco
16222,1,8.3,Toy Story 3
16225,1,8.0,Zootopia
16226,1,7.9,Star Wars: The Force Awakens
16227,1,7.8,Captain America: Civil War
16228,1,7.9,Thor: Ragnarok
16231,1,7.7,Captain America: The Winter Soldier
16237,1,7.8,Big Hero 6
16238,1,7.5,Doctor Strange
16239,1,7.6,Guardians of the Galaxy Vol. 2
16240,1,7.8,Rogue One: A Star Wars Story
16242,1,7.6,Moana
16243,1,7.4,Frozen
16245,1,7.3,Black Panther
16246,1,7.7,Tangled
16247,1,7.7,Wreck-It Ralph
16248,1,7.3,Ant-Man
16250,1,7.3,Avengers: Age of Ultron
16252,1,7.3,Finding Dory
16255,1,7.2,Iron Man 3
16260,1,7.3,Monsters University
16266,1,7.1,Brave
16274,1,6.9,Thor: The Dark World
16275,1,7.0,Star Wars: The Last Jedi
16297,1,6.7,Pete's Dragon
16298,1,6.7,The Good Dinosaur
16299,1,6.9,Frankenweenie
16301,1,7.2,Winnie the Pooh
16302,1,6.8,TRON: Legacy
16305,1,6.7,Cars 3
16306,1,7.4,Queen of Katwe
16309,1,8.3,Before the Flood
16323,1,6.6,John Carter
16326,1,6.4,Descendants
16329,1,7.4,Phineas and Ferb the Movie: Across the 2nd Dimension
16330,1,6.6,Pirates of the Caribbean: On Stranger Tides
16331,1,6.4,The BFG
16334,1,6.8,The Finest Hours
16344,1,7.2,Secretariat
16352,1,5.9,Teen Beach Movie
16359,1,6.4,Muppets Most Wanted
16361,1,7.1,Secret of the Wings
16362,1,6.1,Cars 2
16363,1,6.9,Tinker Bell and the Great Fairy Rescue
16364,1,6.5,Descendants 2
16365,1,6.0,Adventures in Babysitting
16370,1,7.3,Monkey Kingdom
16374,1,7.6,African Cats
16383,1,7.2,Chimpanzee
16391,1,7.4,Science Fair
16393,1,6.2,Diary of a Wimpy Kid
16394,1,6.6,The Odd Life of Timothy Green
16405,1,6.0,The Last Song
16422,1,5.9,Red Tails
16427,1,5.2,Camp Rock 2: The Final Jam
16430,1,6.9,Lemonade Mouth
16439,1,5.5,Olaf's Frozen Adventure
16441,1,8.5,Newsies: The Broadway Musical
16474,1,6.4,Let It Shine
16476,1,4.2,A Wrinkle in Time
16480,1,5.2,Marvel Rising: Secret Warriors
16481,1,5.4,Mars Needs Moms
16482,1,4.7,Sharpay's Fabulous Adventure
16483,1,6.4,The Wizards Return: Alex vs. Alex
16493,1,6.4,"Good Luck Charlie, It's Christmas!"
16495,1,6.6,Cloud 9
16496,1,6.4,Geek Charming
16510,1,6.1,Teen Beach 2
16515,1,5.4,Prom
16528,1,7.6,Marvel Studios: Assembling a Universe
16531,1,6.3,Z-O-M-B-I-E-S
16534,1,6.6,Tangled: Before Ever After
16538,1,5.7,Avalon High
16541,1,5.5,How to Build a Better Boy
16551,1,6.1,Invisible Sister
16556,1,7.7,Into the Okavango
16558,1,6.3,12 Dates of Christmas
16564,1,8.2,Phineas and Ferb: Star Wars
16567,1,5.3,The Suite Life Movie
16570,1,6.0,Bad Hair Day
16582,1,8.3,Phineas and Ferb: Mission Marvel
16585,1,5.9,Ice Age: The Great Egg-Scapade
16587,1,5.5,Girl vs. Monster
16592,1,7.3,"Marvel: 75 Years, From Pulp to Pop!"
16602,1,7.4,MARS: Inside SpaceX
16604,1,7.4,Wings of Life
16611,1,4.8,Life-Size 2
16615,1,5.0,Frenemies
16619,1,6.7,The Mistle-Tones
16623,1,6.8,Dolphin Reef
16639,1,5.4,Den Brother
16642,1,6.6,Atlantis Rising
16645,1,7.2,Titanic: 20 Years Later with James Cameron
16647,1,7.4,Breaking2
16650,1,6.0,Under the Sea: A Descendants Story
16651,1,4.9,Santa Paws 2: The Santa Pups
16659,1,4.2,Super Buddies
16674,1,4.7,Iron Man & Hulk: Heroes United
16676,1,8.0,Expedition Mars
16680,1,6.9,Decorating Disney: Holiday Magic
16693,1,8.1,The Flood
16696,1,6.9,Drain the Great Lakes
16697,1,6.8,Disney's Fairy Tale Weddings
16698,1,6.9,Paris to Pittsburgh
16700,1,6.4,Drain the Titanic
16703,1,6.4,Secrets of Christ's Tomb: Explorer Special
16708,1,6.7,Miracle Landing on the Hudson
16712,1,6.9,Mission to the Sun
16713,1,6.4,Drain the Bermuda Triangle
16714,1,7.0,Drain The Ocean: WWII
16720,1,5.9,Drain Alcatraz
16728,1,6.7,How Dogs Got Their Shapes
16729,1,6.6,Drain The Sunken Pirate City
16730,1,6.8,Bizarre Dinosaurs
16731,1,5.5,Earth Live
16733,1,7.3,Sea of Hope: America's Underwater Treasures
16735,1,6.4,Secrets of the King Cobra
16736,1,6.5,Winged Seduction: Birds of Paradise
16741,1,5.7,Sharks of Lost Island
16742,1,6.6,Man Among Cheetahs
